key,role,period,wins,matches
131,3,40+,172,193
131,2,0-15,538,1349
131,2,15-20,412,372
131,2,20-25,143,1174
131,2,30-35,516,691
131,2,35-40,322,996
131,2,40+,22,88
119,4,0-15,4830,3773
119,4,15-20,3896,10426
119,4,20-25,1933,8955
119,4,30-35,4366,8550
119,4,35-40,2024,4250
119,4,40+,932,573
119,1,0-15,171,417
119,1,15-20,135,409
119,1,20-25,51,501
119,1,30-35,47,176
119,1,35-40,167,115
119,1,40+,10,211
119,5,0-15,3966,3011
119,5,15-20,3663,7958
119,5,20-25,4556,7968
119,5,30-35,1700,9603
119,5,35-40,1847,4054
119,5,40+,276,505
119,3,0-15,161744,394601
119,3,15-20,54146,295646
119,3,20-25,147553,335116
119,3,30-35,191483,101372
119,3,35-40,7826,169405
119,3,40+,81496,14410
119,2,0-15,294,850
119,2,15-20,307,589
119,2,20-25,155,368
119,2,30-35,70,1056
119,2,35-40,210,929
119,2,40+,129,476
36,4,0-15,101544,189273
36,4,15-20,20960,40426
36,4,20-25,72309,132900
36,4,30-35,89037,173142
36,4,35-40,46682,94102
36,4,40+,23732,5752
36,1,0-15,10365,15668
36,1,15-20,2970,20357
36,1,20-25,7790,22420
36,1,30-35,11529,5919
36,1,35-40,5690,11388
36,1,40+,2358,5120
36,5,0-15,3262,6195
36,5,15-20,2523,4781
36,5,20-25,2685,5270
36,5,30-35,1444,2874
36,5,35-40,750,1534
36,5,40+,98,233
36,3,0-15,1110,2326
36,3,15-20,1838,3597
36,3,20-25,1495,884
36,3,30-35,319,3072
36,3,35-40,847,730
36,3,40+,425,1730
36,2,0-15,528,3300
36,2,15-20,1981,1163
36,2,20-25,1448,3963
36,2,30-35,956,2104
36,2,35-40,568,4244
36,2,40+,1879,1159
245,4,0-15,2000,4571
245,4,15-20,2985,6491
245,4,20-25,3081,6851
245,4,30-35,954,3654
245,4,35-40,1723,1989
245,4,40+,631,1448
245,1,0-15,70521,276402
245,1,15-20,152488,212405
245,1,20-25,36216,68701
245,1,30-35,133627,148506
245,1,35-40,111046,302216
245,1,40+,5088,74197
245,5,0-15,78743,157781
245,5,15-20,85235,171269
245,5,20-25,56688,114464
245,5,30-35,42845,43952
245,5,35-40,17094,34882
245,5,40+,2648,86241
245,3,0-15,376,773
245,3,15-20,251,774
245,3,20-25,335,603
245,3,30-35,76,228
245,3,35-40,145,325
245,3,40+,252,41
245,2,0-15,866,691
245,2,15-20,292,2673
245,2,20-25,1157,1987
245,2,30-35,1177,2489
245,2,35-40,46,821
245,2,40+,701,1530
60,4,0-15,689,1432
60,4,15-20,259,1929
60,4,20-25,884,1755
60,4,30-35,802,523
60,4,35-40,426,896
60,4,40+,237,86
60,1,0-15,30799,168180
60,1,15-20,84698,131640
60,1,20-25,71961,51264
60,1,30-35,4046,143892
60,1,35-40,68392,6799
60,1,40+,32963,71403
60,5,0-15,838,1588
60,5,15-20,1016,2168
60,5,20-25,256,494
60,5,30-35,1114,2066
60,5,35-40,566,505
60,5,40+,245,73
60,3,0-15,47,167
60,3,15-20,70,128
60,3,20-25,28,48
60,3,30-35,76,54
60,3,35-40,17,163
60,3,40+,40,89
60,2,0-15,1301,2772
60,2,15-20,1308,2336
60,2,20-25,482,827
60,2,30-35,1671,3277
60,2,35-40,73,1337
60,2,40+,618,123
28,4,0-15,619,563
28,4,15-20,516,1359
28,4,20-25,33,1560
28,4,30-35,593,1270
28,4,35-40,211,76
