key,role,objective,secured,wins,matches
84,4,earthSoul,False,105682,15228
84,4,hextechSoul,True,1365133,15420
84,4,hextechSoul,False,118168,15467
84,1,blue,True,17099,706
84,1,blue,False,16197,630
84,1,rift1,True,12801,294
84,1,rift1,False,20104,1020
84,1,rift2,True,9500,241
84,1,rift2,False,10799,605
84,1,riftDouble,True,3700,78
84,1,riftDouble,False,8502,514
84,1,eliteDouble,True,5600,80
84,1,eliteDouble,False,10702,840
84,1,dragon1,True,15000,247
84,1,dragon1,False,17901,1063
84,1,baron1,True,13700,196
84,1,baron1,False,4998,482
84,1,blood1,True,19801,532
84,1,blood1,False,12099,740
84,1,tower1,True,22298,424
84,1,tower1,False,11004,902
84,1,inhibitor1,True,26402,313
84,1,inhibitor1,False,3798,833
84,1,dragonSoul,True,4100,48
84,1,dragonSoul,False,1401,283
84,1,airSoul,True,1100,12
84,1,airSoul,False,400,55
84,1,waterSoul,True,700,8
84,1,waterSoul,False,300,52
84,1,fireSoul,True,900,11
84,1,fireSoul,False,300,59
84,1,earthSoul,True,200,3
84,1,earthSoul,False,300,66
84,1,hextechSoul,True,1200,14
84,1,hextechSoul,False,100,51
84,5,blue,True,51105429,1017631
84,5,blue,False,47911851,1009308
84,5,rift1,True,60898578,1029910
84,5,rift1,False,37442810,984301
84,5,rift2,True,52072713,796950
84,5,rift2,False,24439087,770706
84,5,riftDouble,True,34711937,500172
84,5,riftDouble,False,12871718,467213
84,5,eliteDouble,True,40330200,539318
84,5,eliteDouble,False,11030561,497769
84,5,dragon1,True,67166437,1028425
84,5,dragon1,False,31436121,990426
84,5,baron1,True,54208000,667504
84,5,baron1,False,11026146,682311
84,5,blood1,True,57114043,986085
84,5,blood1,False,41399137,1030855
84,5,tower1,True,68712976,972170
84,5,tower1,False,29895650,1047500
84,5,inhibitor1,True,76469581,846933
84,5,inhibitor1,False,7672576,909073
84,5,dragonSoul,True,26843507,299092
84,5,dragonSoul,False,2134540,265490
84,5,airSoul,True,5504198,60793
84,5,airSoul,False,397572,54239
84,5,waterSoul,True,5211291,58416
84,5,waterSoul,False,447834,52317
84,5,fireSoul,True,5220077,58046
84,5,fireSoul,False,410744,51731
84,5,earthSoul,True,5457897,60704
84,5,earthSoul,False,423123,53901
84,5,hextechSoul,True,5450007,61133
84,5,hextechSoul,False,455732,53302
84,3,blue,True,75493,2052
84,3,blue,False,75408,2005
84,3,rift1,True,92292,1844
84,3,rift1,False,57395,2179
84,3,rift2,True,75596,1323
84,3,rift2,False,35897,1609
84,3,riftDouble,True,51000,816
84,3,riftDouble,False,19204,1054
84,3,eliteDouble,True,55801,817
84,3,eliteDouble,False,20995,1351
84,3,dragon1,True,93007,1634
84,3,dragon1,False,57097,2389
84,3,baron1,True,70398,920
84,3,baron1,False,19600,1348
84,3,blood1,True,78099,1655
84,3,blood1,False,71911,2378
84,3,tower1,True,98604,1546
84,3,tower1,False,51692,2496
84,3,inhibitor1,True,118401,1384
84,3,inhibitor1,False,12490,2176
84,3,dragonSoul,True,40599,468
84,3,dragonSoul,False,4897,627
84,3,airSoul,True,7500,90
84,3,airSoul,False,1399,138
84,3,waterSoul,True,8200,96
84,3,waterSoul,False,900,117
84,3,fireSoul,True,6600,81
84,3,fireSoul,False,1200,117
84,3,earthSoul,True,9200,99
84,3,earthSoul,False,1000,135
84,3,hextechSoul,True,9100,102
84,3,hextechSoul,False,400,120
84,2,blue,True,95390,2556
84,2,blue,False,91995,2481
84,2,rift1,True,116200,2357
84,2,rift1,False,70090,2632
84,2,rift2,True,97003,1719
84,2,rift2,False,48504,1983
84,2,riftDouble,True,65504,1062
84,2,riftDouble,False,25397,1248
84,2,eliteDouble,True,70398,1042
84,2,eliteDouble,False,22507,1575
84,2,dragon1,True,118591,2082
84,2,dragon1,False,67704,2902
84,2,baron1,True,99004,1248
84,2,baron1,False,24096,1731
84,2,blood1,True,97202,2114
84,2,blood1,False,89289,2899
84,2,tower1,True,128593,2047
84,2,tower1,False,58105,2957
84,2,inhibitor1,True,144697,1689
84,2,inhibitor1,False,21600,2717
84,2,dragonSoul,True,51098,580
84,2,dragonSoul,False,6200,739
84,2,airSoul,True,10500,121
84,2,airSoul,False,1200,141
84,2,waterSoul,True,11100,127
84,2,waterSoul,False,1100,147
84,2,fireSoul,True,8100,94
84,2,fireSoul,False,899,154
84,2,earthSoul,True,11000,122
84,2,earthSoul,False,1499,153
84,2,hextechSoul,True,10401,116
84,2,hextechSoul,False,1500,144
166,4,blue,True,3559882,70773
166,4,blue,False,3496795,72084
166,4,rift1,True,4216626,70465
166,4,rift1,False,2797734,71535
166,4,rift2,True,3587238,54098
166,4,rift2,False,1816378,55445
166,4,riftDouble,True,2337728,33282
166,4,riftDouble,False,1000250,34432
166,4,eliteDouble,True,2794819,37449
166,4,eliteDouble,False,850402,36034
166,4,dragon1,True,4769957,73114
166,4,dragon1,False,2259054,69190
166,4,baron1,True,4156120,51616
166,4,baron1,False,828422,49458
166,4,blood1,True,4374414,76090
166,4,blood1,False,2656445,66229
166,4,tower1,True,5077716,73729
166,4,tower1,False,1958697,68678
166,4,inhibitor1,True,5679318,62873
166,4,inhibitor1,False,566421,63358
166,4,dragonSoul,True,1802577,20042
166,4,dragonSoul,False,162239,18931
166,4,airSoul,True,370718,4064
166,4,airSoul,False,31212,3926
166,4,waterSoul,True,351401,3947
166,4,waterSoul,False,32214,3690
166,4,fireSoul,True,345190,3838
166,4,fireSoul,False,32987,3649
166,4,earthSoul,True,369820,4127
166,4,earthSoul,False,33813,3909
166,4,hextechSoul,True,365411,4066
166,4,hextechSoul,False,32085,3757
166,1,blue,True,79399,2167
166,1,blue,False,79593,2135
166,1,rift1,True,76893,1479
166,1,rift1,False,79502,2773
166,1,rift2,True,60398,1116
166,1,rift2,False,45799,1801
166,1,riftDouble,True,32802,516
166,1,riftDouble,False,31298,1396
166,1,eliteDouble,True,42700,580
166,1,eliteDouble,False,37305,1944
166,1,dragon1,True,85895,1401
166,1,dragon1,False,71189,2859
166,1,baron1,True,80299,1030
166,1,baron1,False,22105,1690
166,1,blood1,True,95801,2148
166,1,blood1,False,59790,2049
166,1,tower1,True,110205,1834
166,1,tower1,False,48191,2445
166,1,inhibitor1,True,120894,1396
166,1,inhibitor1,False,16590,2317
166,1,dragonSoul,True,24501,277
166,1,dragonSoul,False,6000,750
166,1,airSoul,True,6200,69
166,1,airSoul,False,1399,165
166,1,waterSoul,True,3800,43
166,1,waterSoul,False,900,127
166,1,fireSoul,True,5500,61
166,1,fireSoul,False,1301,159
166,1,earthSoul,True,3500,41
166,1,earthSoul,False,1400,146
166,1,hextechSoul,True,5500,63
166,1,hextechSoul,False,1001,153
166,5,blue,True,12179703,239099
166,5,blue,False,11768551,239101
166,5,rift1,True,14839907,247167
166,5,rift1,False,8971703,228462
166,5,rift2,True,13040213,196774
166,5,rift2,False,5805044,180449
166,5,riftDouble,True,8711764,124436
166,5,riftDouble,False,3061773,108805
166,5,eliteDouble,True,10060524,134481
166,5,eliteDouble,False,2554445,110870
166,5,dragon1,True,16565867,252644
166,5,dragon1,False,7285211,223816
166,5,baron1,True,13942642,173136
166,5,baron1,False,2702382,160474
166,5,blood1,True,14422226,247975
166,5,blood1,False,9411757,227998
166,5,tower1,True,17954363,261611
166,5,tower1,False,5918887,215154
166,5,inhibitor1,True,19366991,216053
166,5,inhibitor1,False,1831540,206487
166,5,dragonSoul,True,6272757,69946
166,5,dragonSoul,False,534390,61143
166,5,airSoul,True,1284114,14054
166,5,airSoul,False,95890,12357
166,5,waterSoul,True,1230465,13891
166,5,waterSoul,False,116959,12247
166,5,fireSoul,True,1215564,13678
166,5,fireSoul,False,104539,11866
166,5,earthSoul,True,1289573,14327
166,5,earthSoul,False,103103,12422
166,5,hextechSoul,True,1252922,13996
166,5,hextechSoul,False,113812,12251
166,3,blue,True,1034647,21668
166,3,blue,False,969151,21179
166,3,rift1,True,1238246,21716
166,3,rift1,False,755602,20925
166,3,rift2,True,1062802,16894
166,3,rift2,False,487870,16355
166,3,riftDouble,True,711539,10546
166,3,riftDouble,False,257159,9979
166,3,eliteDouble,True,829757,11475
166,3,eliteDouble,False,233172,10810
166,3,dragon1,True,1358894,21635
166,3,dragon1,False,639268,21091
166,3,baron1,True,1073593,13652
166,3,baron1,False,236645,14662
166,3,blood1,True,1174855,21361
166,3,blood1,False,816314,21225
166,3,tower1,True,1446753,21408
166,3,tower1,False,551917,21326
166,3,inhibitor1,True,1607604,18233
166,3,inhibitor1,False,173304,20012
166,3,dragonSoul,True,604368,6819
166,3,dragonSoul,False,61322,6867
166,3,airSoul,True,125104,1400
166,3,airSoul,False,10601,1423
166,3,waterSoul,True,119496,1361
166,3,waterSoul,False,13901,1329
166,3,fireSoul,True,116203,1308
166,3,fireSoul,False,12705,1387
166,3,earthSoul,True,119898,1344
166,3,earthSoul,False,11201,1361
166,3,hextechSoul,True,123700,1406
166,3,hextechSoul,False,12904,1367
166,2,blue,True,131909,3161
166,2,blue,False,130603,3180
166,2,rift1,True,173100,3289
166,2,rift1,False,88007,3016
166,2,rift2,True,143096,2444
166,2,rift2,False,61098,2504
166,2,riftDouble,True,100104,1593
166,2,riftDouble,False,27895,1462
166,2,eliteDouble,True,116303,1639
166,2,eliteDouble,False,30208,1699
166,2,dragon1,True,174787,2949
166,2,dragon1,False,86087,3351
166,2,baron1,True,147204,1927
166,2,baron1,False,31708,2306
166,2,blood1,True,148802,2924
166,2,blood1,False,112113,3382
166,2,tower1,True,191901,3066
166,2,tower1,False,69398,3252
166,2,inhibitor1,True,211400,2453
166,2,inhibitor1,False,19290,3152
166,2,dragonSoul,True,66301,756
166,2,dragonSoul,False,7498,911
166,2,airSoul,True,11600,132
166,2,airSoul,False,1700,176
166,2,waterSoul,True,12600,146
166,2,waterSoul,False,1799,174
166,2,fireSoul,True,12701,145
166,2,fireSoul,False,2100,193
166,2,earthSoul,True,14100,162
166,2,earthSoul,False,499,174
166,2,hextechSoul,True,15299,171
166,2,hextechSoul,False,1401,194
12,4,blue,True,251123,5445
12,4,blue,False,242077,5364
12,4,rift1,True,260589,4547
12,4,rift1,False,230913,6199
12,4,rift2,True,240015,3688
12,4,rift2,False,143886,4658
12,4,riftDouble,True,139308,2026
12,4,riftDouble,False,88511,3177
12,4,eliteDouble,True,165006,2222
12,4,eliteDouble,False,76891,3368
12,4,dragon1,True,319990,5040
12,4,dragon1,False,172088,5721
12,4,baron1,True,270517,3318
12,4,baron1,False,67984,3756
12,4,blood1,True,291410,5346
12,4,blood1,False,198884,5403
12,4,tower1,True,300008,4238
12,4,tower1,False,192207,6531
12,4,inhibitor1,True,385406,4219
12,4,inhibitor1,False,52623,5337
12,4,dragonSoul,True,119598,1316
12,4,dragonSoul,False,14705,1535
12,4,airSoul,True,24201,263
12,4,airSoul,False,2499,328
12,4,waterSoul,True,23499,262
12,4,waterSoul,False,2700,301
12,4,fireSoul,True,24399,264
12,4,fireSoul,False,3401,287
12,4,earthSoul,True,23899,267
12,4,earthSoul,False,2600,311
12,4,hextechSoul,True,23600,260
12,4,hextechSoul,False,3499,308
12,1,blue,True,45705,1257
12,1,blue,False,38001,1060
12,1,rift1,True,35300,628
12,1,rift1,False,47099,1652
12,1,rift2,True,23802,479
12,1,rift2,False,23797,958
