key,role,physicalDamage,magicDamage,trueDamage,damage,damageTaken,heal,kills,deaths,assists,maxSpree,gold,minions,jungleCS
40,2,858,4282,431,5572,15771,8622,1.08,5.08,14.92,0.33,7764,16.98,0.45
59,4,14092,2300,697,17090,26209,4530,5.17,6.28,9.14,2.36,11117,153.06,10.26
59,1,12926,1582,970,15480,29652,10413,6.15,5.95,12.75,3.01,11561,33.18,113.43
59,5,17463,1752,1195,20411,23193,3771,8.43,6.64,8.93,3.73,12309,147.24,12.71
59,3,15912,1714,917,18544,22676,3912,8.38,7.12,10.15,3.48,12155,134.79,13.76
59,2,6911,3704,783,11399,20769,2028,3.14,7.2,14.58,1.23,8800,36.05,3.87
24,4,14742,4922,821,20487,27055,4339,6.36,6.55,4.37,2.86,11857,158.34,14.36
24,1,13515,4133,1186,18836,30449,8367,7.46,6.52,6.33,3.31,12133,40.87,113.99
24,5,15130,5009,1106,21247,27563,4120,7.7,7.14,5.18,3.3,11948,142.78,14.39
24,3,14261,4132,802,19196,27224,3834,7.76,7.51,5.96,3.18,11740,131.87,15.6
24,2,9779,2863,782,13425,24403,2989,4.7,7.58,7.43,1.87,9467,60.43,12.77
126,4,18335,3993,717,23047,21092,3779,5.82,6.6,5.74,2.67,11885,175.29,12.95
126,1,15351,3282,1192,19827,25590,7197,6.56,7.02,6.92,2.81,11749,57.79,102.74
126,5,19345,4022,1338,24707,21197,3816,7.45,6.53,6.67,3.37,12524,167.77,12.74
126,3,17427,3240,776,21444,20652,3864,6.91,7.15,7.24,2.96,11757,151.15,11.97
126,2,14430,2713,1155,18299,18652,2049,4.7,7.93,8.22,1.87,10055,57.63,8.57
202,4,18695,2093,671,21460,21311,3950,6.85,6.3,6.32,3.18,12042,164.14,11.01
202,1,14842,1761,1059,17664,25471,7873,6.87,6.5,7.97,3.05,11588,53.78,100.69
202,5,19384,2220,747,22353,21037,3812,7.97,6.01,7.28,3.76,12454,166.05,10.45
202,3,17489,2054,525,20070,19644,4375,7.89,5.54,8.39,3.85,12380,167.88,10.06
202,2,11355,1523,429,13309,16163,2357,4.49,6.22,7.86,1.97,9151,69.78,5.98
222,4,17358,816,1607,19783,20665,2324,5.62,7.27,5.67,2.43,11743,161.41,17.15
222,1,14837,788,1945,17572,24197,6274,5.97,6.78,6.81,2.65,11450,64.93,103.28
222,5,18162,823,1578,20565,20212,2344,6.65,6.88,6.28,2.98,11899,158.53,15.33
222,3,17498,953,1739,20192,19385,2882,6.91,6.45,7.52,3.19,12147,170.38,15.62
222,2,9993,621,747,11364,15702,1802,3.48,6.76,5.87,1.41,8464,76.96,8.55
145,4,13577,8240,1871,23689,21765,2346,7.43,6.73,4.63,3.29,12859,180.74,18.55
145,1,11516,7204,2221,20944,25945,6788,8.58,6.51,5.66,3.77,12794,59.18,114.99
145,5,10413,13787,1238,25440,19961,2209,7.97,6.33,5.81,3.65,12753,175.33,11.81
145,3,13577,5644,1948,21171,19775,3184,8.86,6.05,6.11,4.05,13157,179.55,16.05
145,2,5077,11896,877,17851,15070,1627,5.16,5.76,6.1,2.38,9428,62.91,7.01
429,4,18392,820,588,19800,23225,2747,6.42,7.2,3.98,2.88,12375,172.85,19.58
429,1,13145,799,990,14935,25363,5293,6.29,7.36,4.76,2.64,10933,58.15,92.12
429,5,19182,1048,826,21057,23101,2643,8.03,7.01,4.88,3.63,12713,169.02,18.24
429,3,17135,1553,602,19291,22129,3138,8.44,6.76,6.09,3.82,12805,168.73,16.89
