key,role,path,rune_id,wins,matches
266,2,1,8351,3514,7740
266,2,1,8360,5,17
266,2,1,8369,52,112
266,2,1,8306,272,612
266,2,2,8306,11,25
266,2,1,8304,3012,6591
266,2,2,8304,35,84
266,2,1,8313,288,666
266,2,2,8313,5,17
266,2,1,8321,1543,3414
266,2,2,8321,34,79
266,2,1,8316,1571,3446
266,2,2,8316,2,9
266,2,1,8345,456,1009
266,2,2,8345,26,63
266,2,1,8347,2606,5790
266,2,2,8347,53,128
266,2,1,8410,857,1856
266,2,2,8410,22,45
266,2,1,8352,110,223
266,2,2,8352,6,14
266,2,1,5008,4590,10575
266,2,1,5005,754,1861
266,2,1,5007,403,947
266,2,1,5008f,5264,12242
266,2,1,5002f,344,803
266,2,1,5003f,138,338
266,2,1,5001,360,880
266,2,1,5002,4927,11406
266,2,1,5003,464,1097
103,4,1,8005,51,126
103,4,1,8008,85,189
103,4,1,8021,56,118
103,4,1,8010,47,125
103,4,1,9101,10,25
103,4,2,9101,41,79
103,4,1,9111,94,238
103,4,2,9111,115,269
103,4,1,8009,135,295
103,4,2,8009,255,494
103,4,1,9104,170,392
103,4,2,9104,84,163
103,4,1,9105,38,97
103,4,2,9105,25,56
103,4,1,9103,31,69
103,4,2,9103,11,21
103,4,1,8014,123,287
103,4,2,8014,282,578
103,4,1,8017,78,176
103,4,2,8017,46,107
103,4,1,8299,38,95
103,4,2,8299,19,39
103,4,1,8112,5615,11897
103,4,1,8124,4,5
103,4,1,8128,127,281
103,4,1,9923,22,40
103,4,1,8126,991,2103
103,4,2,8126,80,183
103,4,1,8139,4044,8550
103,4,2,8139,194,426
103,4,1,8143,739,1570
103,4,2,8143,69,129
103,4,1,8136,175,435
103,4,2,8136,2,9
103,4,1,8120,190,383
103,4,2,8120,11,23
103,4,1,8138,5406,11405
103,4,2,8138,203,441
103,4,1,8135,644,1352
103,4,2,8135,46,99
103,4,1,8134,98,181
103,4,2,8134,20,31
103,4,1,8105,250,484
103,4,2,8105,153,314
103,4,1,8106,4787,10206
