key,role,ban_rate,pick_rate,wins,matches
888,3,2.11,0.01,462,1649
888,2,2.11,3.08,359091,697942
58,4,3.06,4.54,491768,1028589
58,1,3.06,0.03,2155,5784
58,5,3.06,0.84,96660,190464
58,3,3.06,0.01,1158,2934
58,2,3.06,0.01,1176,3227
107,4,1.69,0.72,80766,163296
107,1,1.69,2.44,262577,553726
107,5,1.69,0.01,645,1434
107,3,1.69,0.05,4989,10633
107,2,1.69,0.04,3301,8020
92,4,0.81,2.95,322022,667126
92,1,0.81,0.08,7209,17592
92,5,0.81,0.27,31124,61742
92,3,0.81,0.01,875,2076
92,2,0.81,0.01,1144,3063
68,4,0.42,1.31,141521,297188
68,1,0.42,0.21,21344,46675
68,5,0.42,0.85,99173,192982
68,3,0.42,0.01,800,1845
68,2,0.42,0.06,6649,14558
13,4,0.18,0.48,49680,108805
13,1,0.18,0.01,1047,3186
13,5,0.18,1.56,160837,353410
13,3,0.18,0.02,1564,4090
13,2,0.18,0.02,1703,4456
360,4,26.26,0.05,5777,12252
360,1,26.26,0.01,432,1212
360,5,26.26,0.13,14651,29099
360,3,26.26,10.21,1179422,2313045
360,2,26.26,0.03,1692,6281
113,4,0.92,1.74,203508,393253
113,1,0.92,3.07,356491,696135
113,5,0.92,0.08,9861,19193
113,3,0.92,0.0,448,1050
113,2,0.92,0.13,14067,30096
235,4,3.46,0.1,9985,21816
235,1,3.46,0.0,171,640
235,5,3.46,0.07,6622,14825
235,3,3.46,0.35,35937,79630
235,2,3.46,7.06,783114,1599498
147,4,2.24,0.02,1707,3856
147,1,2.24,0.0,156,489
147,5,2.24,0.6,69238,136108
147,3,2.24,0.9,108122,204855
147,2,2.24,5.15,584470,1165908
875,4,8.05,11.16,1307208,2528937
875,1,8.05,0.23,24016,51393
875,5,8.05,2.0,247222,452374
875,3,8.05,0.05,5629,11637
875,2,8.05,0.69,76511,157074
35,4,22.45,0.34,36834,76387
35,1,22.45,7.47,844504,1691037
35,5,22.45,0.09,9401,19328
35,3,22.45,0.01,1041,2922
35,2,22.45,1.28,150049,289168
98,4,0.64,3.61,421074,817620
98,1,0.64,0.1,10411,23673
98,5,0.64,0.06,6872,13467
98,3,0.64,0.01,694,1560
98,2,0.64,0.5,55297,114226
102,4,0.9,0.57,66792,129794
102,1,0.9,2.82,335744,637933
102,5,0.9,0.08,10308,19214
102,3,0.9,0.0,325,757
102,2,0.9,0.01,645,1566
27,4,0.64,1.79,211199,405216
27,1,0.64,0.11,11903,25775
27,5,0.64,0.47,58477,106380
27,3,0.64,0.02,2469,5540
27,2,0.64,0.13,12922,28940
14,4,0.78,3.61,419267,817923
14,1,0.78,0.22,24535,48856
14,5,0.78,0.33,39165,75491
14,3,0.78,0.05,5154,10748
14,2,0.78,0.15,16454,34136
15,4,6.38,0.02,2154,5131
15,1,6.38,0.0,152,625
15,5,6.38,0.08,7773,17496
15,3,6.38,7.45,839625,1688706
15,2,6.38,0.03,1808,6160
72,4,0.11,0.09,10218,20948
72,1,0.11,0.59,68083,132637
72,5,0.11,0.02,2930,5579
72,3,0.11,0.0,49,171
72,2,0.11,0.02,1581,3501
37,4,0.16,0.01,917,2283
37,1,0.16,0.0,84,351
37,5,0.16,0.02,1485,3947
37,3,0.16,0.02,1240,3542
37,2,0.16,3.05,356868,691872
16,4,2.27,0.09,8917,19415
16,1,2.27,0.01,303,1738
16,5,2.27,0.08,7768,17043
16,3,2.27,0.03,2160,6185
16,2,2.27,5.93,685077,1344343
50,4,5.48,0.48,55227,109036
50,1,5.48,0.0,341,978
50,5,5.48,2.5,301302,567210
50,3,5.48,0.38,45312,86738
50,2,5.48,4.96,578116,1122992
517,4,10.62,1.16,124776,262134
517,1,10.62,0.21,19812,46496
517,5,10.62,11.58,1279983,2622378
517,3,10.62,0.05,4846,10866
517,2,10.62,0.38,38950,85155
134,4,2.52,0.06,6813,13923
134,1,2.52,0.01,212,1364
134,5,2.52,4.96,551538,1123295
134,3,2.52,0.14,14220,30740
134,2,2.52,0.27,29164,60720
223,4,1.19,1.78,199490,403907
223,1,1.19,0.02,1808,4893
223,5,1.19,0.06,6964,14361
223,3,1.19,0.09,10043,19754
223,2,1.19,0.68,74245,154068
163,4,0.58,0.02,1760,3841
163,1,0.58,0.93,101941,211759
163,5,0.58,1.08,120289,244292
163,3,0.58,0.03,3590,7438
163,2,0.58,0.16,17742,35223
91,4,1.58,0.06,5712,12752
91,1,1.58,1.77,192558,400746
91,5,1.58,2.56,283887,579479
91,3,1.58,0.01,599,1610
91,2,1.58,0.01,1113,2911
44,4,0.35,0.07,7214,16030
44,1,0.35,0.11,12468,24309
44,5,0.35,0.02,2223,4457
44,3,0.35,0.01,714,2058
44,2,0.35,1.77,206445,401097
17,4,12.66,6.51,752306,1474532
17,1,12.66,0.46,50280,104445
17,5,12.66,0.52,62045,118338
17,3,12.66,0.16,17408,37325
